Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1561.9607356137035
FDW14,OUT017,1327.6268383120082
NCN55,OUT010,692.9454409149506
FDQ58,OUT017,2324.578306317617
FDY38,OUT027,6327.482759545196
FDH56,OUT046,1860.4627374233128
FDL48,OUT018,666.3486948586697
FDC48,OUT027,2135.074550290821
FDN33,OUT045,1497.98787637356
FDA36,OUT017,3005.402755432376
FDT44,OUT017,1873.830954263413
FDQ56,OUT045,1511.7110776709546
NCC54,OUT019,683.09966417473
FDU11,OUT049,1989.316706854924
DRL59,OUT013,803.5886129993796
FDM24,OUT049,2293.840982675654
FDI57,OUT045,3032.729732595029
DRC12,OUT018,3064.0411377981645
NCM42,OUT027,2907.2393417278477
FDA46,OUT010,450.92560240764533
FDA31,OUT013,2766.7517123848024
NCJ31,OUT035,3798.213825637754
FDG52,OUT046,738.4935599643219
NCL19,OUT019,387.7191017475023
FDS10,OUT035,3143.453123346404
FDX22,OUT010,512.4073827315399
NCF19,OUT035,741.0381032832368
NCE06,OUT046,2359.0520264423963
DRC27,OUT046,3947.4515989036418
FDE21,OUT035,2045.0927151342974
NCR42,OUT019,67.0933426569361
FDX51,OUT018,2880.4159827853814
NCR06,OUT018,351.43688337897623
FDU31,OUT027,5680.189936205444
FDU59,OUT017,2298.4603902018907
FDR03,OUT027,5644.226842789567
FDS49,OUT027,2210.13535069473
FDD48,OUT010,258.570082554174
NCF18,OUT017,3116.164583819688
NCD43,OUT027,2567.403772210904
NCD54,OUT018,1945.8428839466037
FDY19,OUT010,235.9441143543692
NCY54,OUT017,2695.044473147682
NCL19,OUT018,2211.236558177777
FDP23,OUT010,403.1296648756735
FDC26,OUT013,1673.0513509459001
FDR14,OUT010,159.34579863221614
NCS41,OUT035,3204.8497839421925
FDF41,OUT035,3784.5873394196956
FDU34,OUT046,2062.021222060174
DRH11,OUT046,867.501380960602
FDM03,OUT013,1683.9905417362959
FDS31,OUT017,3187.79486626781
FDJ20,OUT017,1945.9558098035652
FDV44,OUT027,5176.018564774721
FDG02,OUT049,3006.46420670496
FDA09,OUT013,3180.0746758487135
FDT04,OUT013,625.4560163041303
FDL58,OUT019,615.151354402975
FDE52,OUT045,1361.7386033091489
FDW12,OUT035,2607.2757739579038
FDL51,OUT017,3748.0595552193204
NCY42,OUT027,3190.348449564683
FDR07,OUT017,1558.7031384725333
FDN40,OUT045,2256.2023682943477
FDB35,OUT027,2560.7870591771048
FDA22,OUT017,2355.9774463947897
NCL06,OUT046,4292.476873494692
FDI35,OUT013,3169.471077511032
NCW42,OUT045,3736.616783591829
NCX06,OUT049,3097.353498374479
FDC37,OUT027,2547.1761585908957
FDZ14,OUT018,1805.4775172587024
DRG49,OUT049,4216.031003149233
NCG06,OUT045,3943.4777391735397
DRC36,OUT045,2813.3833584669874
FDV21,OUT019,484.905570777381
FDB53,OUT046,2786.9837527267773
DRP47,OUT019,610.9755712824461
FDA14,OUT013,2480.1205329285754
DRC24,OUT035,2621.570295730072
FDW21,OUT018,1452.443989797443
NCH29,OUT046,1720.459727989009
FDU58,OUT013,3192.8366975598624
FDY27,OUT017,2734.2769082984364
FDV56,OUT035,1712.6703329141665
FDT59,OUT046,4007.5866572287837
FDB23,OUT046,3578.902942379113
FDR49,OUT045,802.745736156218
FDB03,OUT010,585.8418583319759
FDN39,OUT045,2570.1780726147185
FDX02,OUT027,5832.060779110086
FDQ16,OUT027,2484.3772455510643
FDU35,OUT018,1500.7690936202991
NCT29,OUT013,1975.944355980266
FDZ27,OUT046,767.8448506405832
FDN57,OUT017,2077.4446734459743
FDA03,OUT018,2218.6173861532016
FDZ36,OUT045,3188.278685114368
NCU05,OUT013,1285.87159890428
FDT39,OUT018,2312.7729696972247
FDK60,OUT017,1622.1605315147046
FDZ25,OUT017,2978.1099061797718
FDG12,OUT046,2299.6486212763816
DRB01,OUT019,456.21336075305055
NCC43,OUT027,6213.127043913317
FDX13,OUT019,474.79123385755105
FDM22,OUT049,818.4212063163308
FDJ03,OUT027,1435.0168215245512
FDU14,OUT018,3538.0481637953176
FDB33,OUT010,430.08676498044497
FDP27,OUT046,3250.298144014013
FDO38,OUT010,164.9981477489567
FDE28,OUT027,6415.227127545318
FDO27,OUT035,1588.066441732066
DRL23,OUT027,2399.7363990070285
FDS28,OUT046,832.7423126755235
FDX24,OUT013,1434.9503032107411
FDZ02,OUT035,1577.906707887296
FDL46,OUT045,1694.0516589088295
FDS60,OUT027,4776.1181867217
NCO06,OUT017,545.5109362463373
FDO16,OUT035,1703.869180489619
FDC60,OUT049,1523.8188305566016
FDA48,OUT018,3657.649584373004
FDZ36,OUT027,5122.585148187641
FDK27,OUT045,1995.0447992223412
FDW23,OUT018,391.2910790893746
FDM14,OUT018,1443.3059283099049
FDM14,OUT013,1619.8937627402993
FDW60,OUT018,2703.283933933926
FDE21,OUT013,1990.2407639709054
NCM42,OUT035,1751.9624014452781
FDY59,OUT010,198.72917387475047
DRI49,OUT049,1341.680100752295
FDT28,OUT019,280.77184550540534
FDQ22,OUT018,394.5011380888096
FDR60,OUT049,1301.8214773408642
FDC50,OUT019,249.02741181353423
FDV24,OUT013,2248.8811593355367
DRF48,OUT010,617.842769872981
FDQ47,OUT046,627.0327397468956
DRN36,OUT049,1548.341950851009
NCY06,OUT035,2021.7729789251289
FDE52,OUT035,1371.5498471718988
NCB54,OUT045,1849.5521313440486
NCF31,OUT035,2422.117038265633
FDJ08,OUT027,5274.713843685835
NCC07,OUT017,1616.695044493364
NCD19,OUT027,1517.7904421148446
FDL46,OUT049,1844.7207312508915
FDM20,OUT045,3975.686229496293
NCI06,OUT010,406.3952359129291
DRM11,OUT035,4273.389704677051
NCH07,OUT018,2339.4469823108543
FDS23,OUT013,2167.2368503930134
FDO49,OUT018,675.1046929114788
FDS35,OUT049,1039.002638310637
DRK39,OUT045,1364.7458807537032
DRI39,OUT049,857.9815522273847
FDV04,OUT017,2293.5539968667626
NCN14,OUT035,3145.3952145844805
FDH08,OUT013,3952.4010093649567
FDS20,OUT046,3369.1183275342537
FDV40,OUT049,1052.2011309774052
FDZ48,OUT010,249.0074971444497
FDS24,OUT027,2550.817131900581
FDK44,OUT049,2760.081592466125
FDS48,OUT045,2638.1520927690435
FDK26,OUT010,695.7712901838626
FDD23,OUT045,3083.01407228158
NCH54,OUT017,2684.9391506240713
NCP14,OUT010,229.38269835608781
FDM60,OUT010,68.82464293763161
FDV24,OUT017,2281.8502680116094
FDH08,OUT018,3113.422140880175
FDS12,OUT027,3625.250029113437
FDR39,OUT027,4745.369111938131
FDP12,OUT027,955.2024645116356
DRF60,OUT027,5572.497721394859
FDC09,OUT035,1743.2531203252638
FDF50,OUT018,3078.813433956201
FDG28,OUT035,4018.112445040911
NCE19,OUT017,846.4362746789425
NCM53,OUT010,242.29955988608378
NCN18,OUT049,1721.0164478117838
FDF32,OUT035,3130.8396757420346
FDF11,OUT013,4124.0772559518955
DRI59,OUT049,4005.687252603489
NCG54,OUT035,2811.8931214338327
FDM44,OUT046,1671.4041731364603
FDT57,OUT018,3063.5129676419915
FDV24,OUT046,2254.5514244226806
FDI50,OUT019,465.9363867938761
FDS09,OUT035,751.7409431322797
NCC31,OUT027,3527.8634946646735
FDQ07,OUT019,710.3330013964716
FDC22,OUT017,3228.5668607339776
FDZ56,OUT046,2900.5327224525768
FDZ40,OUT019,195.83988936534314
FDS46,OUT027,2679.7624244777085
DRD24,OUT045,1990.1200236134516
FDV45,OUT017,3189.275948287493
FDL26,OUT045,2720.3025947407377
FDA56,OUT018,1776.085432587388
FDN27,OUT046,1875.7417292386497
FDM20,OUT049,4131.485714810983
FDO16,OUT017,1702.9891060535417
FDL03,OUT035,3138.619193113402
FDE58,OUT046,1930.7620876642204
FDI02,OUT027,3483.656667924113
NCC55,OUT019,65.34156810286915
FDR03,OUT018,3163.1292041178353
FDB14,OUT017,1499.7076946921848
FDR45,OUT013,4116.562356456316
NCN07,OUT017,2116.8549762460607
FDM51,OUT019,257.4962507581251
FDT52,OUT027,6415.4486916386
FDL26,OUT046,2648.6116092696275
NCZ42,OUT046,3805.3152898278154
DRI47,OUT019,419.58971971844255
FDW40,OUT013,2271.8092091218036
FDN34,OUT046,2890.4130727673046
FDS01,OUT035,3137.5374293657032
NCG55,OUT045,1879.3694281594417
FDC11,OUT035,1317.6127320582486
FDX35,OUT018,2851.183722746907
NCB06,OUT046,2641.336997299065
FDR09,OUT019,568.5990492401534
FDC53,OUT017,1600.7761963426715
FDY45,OUT013,4244.8520545895
FDA22,OUT010,377.5073264796702
FDE02,OUT035,1594.0291688667241
FDW21,OUT045,1661.2254544021246
FDV34,OUT046,1173.2660591766573
FDS59,OUT049,1766.3813227146375
NCW17,OUT017,2313.832819586595
NCK54,OUT046,2003.4530701051965
FDG17,OUT019,400.676397890123
FDG35,OUT017,3234.4204890005076
FDD08,OUT010,64.3476050593033
NCO07,OUT017,3923.009750428769
FDJ10,OUT010,315.53602802468055
FDW36,OUT017,1697.5995146688363
FDW21,OUT010,209.5029326772188
FDY19,OUT017,1965.3497698813562
DRE03,OUT013,727.5362877273355
NCC55,OUT049,687.2448859031163
FDH52,OUT010,142.57189720220262
FDO09,OUT017,4148.150060385428
FDU43,OUT045,3930.6205078177136
FDX09,OUT010,398.32532762402633
FDH40,OUT019,246.3653231894064
FDW58,OUT017,1661.1688180138947
FDC47,OUT017,3931.900462389048
NCR41,OUT035,1521.673062783988
DRG49,OUT035,4174.922251743865
FDC52,OUT027,4138.545055151966
FDY13,OUT046,1224.7489982719937
FDY35,OUT013,662.6407856940974
FDI35,OUT017,3345.3108054072495
NCU18,OUT049,2241.0025762327014
FDY33,OUT018,2370.054395960255
FDC15,OUT027,3593.4378155508944
FDU01,OUT049,3133.9762531895076
NCU42,OUT046,3056.437902184858
NCV29,OUT018,2741.789035394634
NCY30,OUT017,3177.238152217594
FDQ46,OUT049,1670.2423814537858
FDG58,OUT027,4279.2826826665805
FDK33,OUT017,3885.319364787382
NCD07,OUT045,1696.6656457319084
NCX29,OUT027,3762.3135108165793
NCT42,OUT013,2299.2756381346835
DRN59,OUT035,783.9912303106696
FDI44,OUT035,1275.2840515991657
FDA45,OUT049,2274.9463717512026
FDP31,OUT045,985.4525529008836
FDY01,OUT046,1951.041339533802
FDT09,OUT018,1850.207248546317
DRH03,OUT027,2438.7411839410497
FDA36,OUT018,2696.4096002504443
NCF31,OUT017,2334.581110318253
FDG14,OUT049,2374.0224358554747
FDG28,OUT027,6365.665167823962
FDU14,OUT049,4120.2186735149635
FDY47,OUT019,265.4330932376194
FDI56,OUT049,1340.2376391992623
DRD01,OUT013,719.1768569162115
FDM22,OUT046,897.4411442868555
FDH33,OUT013,639.1435366294207
DRZ24,OUT013,1918.0578327196906
NCQ38,OUT046,1647.3682418566539
FDO16,OUT027,2030.2582228154276
FDU07,OUT027,3944.922964516537
NCB07,OUT013,2921.239658994147
FDU48,OUT045,1922.2706510778823
NCM43,OUT045,2775.3521814650026
FDR31,OUT010,257.91017504458296
DRK49,OUT018,445.4773253625667
NCI30,OUT010,636.3532499954376
DRD60,OUT017,3189.8296400014274
NCG19,OUT046,3404.251902705282
FDH12,OUT035,1686.265687746929
FDM32,OUT035,1493.519892272042
FDM27,OUT035,2736.685419442987
NCU53,OUT027,4082.8258135898855
NCQ18,OUT046,1624.8082788147635
FDS10,OUT013,2915.3361842778445
FDB33,OUT027,4356.7871200693735
FDI12,OUT013,1339.2933207003239
NCW42,OUT013,3725.9546324093944
NCC06,OUT018,1994.3371213454643
FDW02,OUT017,2071.9126574629718
NCD43,OUT017,1702.4003610109432
FDM57,OUT018,1224.1870810269033
FDA58,OUT017,3724.592009832424
FDK56,OUT046,3246.696628762988
FDP52,OUT045,4003.5035658307584
FDW20,OUT018,1975.8739746435372
FDS52,OUT049,1595.1836974271828
NCT29,OUT018,1798.7756803854695
NCL54,OUT013,2863.0002226645765
FDC05,OUT045,2862.7044761219286
FDF34,OUT035,2982.3167484446785
FDP03,OUT027,3127.514594829301
FDD32,OUT010,200.40749341631462
FDZ10,OUT045,1906.8215740302755
FDZ40,OUT035,843.8320587745899
FDD51,OUT018,472.935516000441
NCY30,OUT019,431.14968145673794
FDP58,OUT017,3572.1012180928856
FDV49,OUT017,4316.124369011043
FDY24,OUT019,149.96654148808713
NCO55,OUT017,1696.5637517101911
FDR13,OUT017,1842.0589189916345
FDS51,OUT017,978.4971586965116
FDP26,OUT045,1586.9138046315902
NCB54,OUT027,4269.741477434461
FDF32,OUT017,3131.463883151009
FDN31,OUT018,2919.698621866618
DRM48,OUT017,693.9260067705695
FDN20,OUT049,2825.670965395649
DRL01,OUT046,3860.2769051852442
FDV56,OUT049,1652.9620146725092
DRH13,OUT027,2556.545985642686
FDA03,OUT017,2539.2769866093863
FDF47,OUT027,7082.052342086765
FDX32,OUT046,2720.779997256776
FDX57,OUT049,1599.0082004566696
NCA30,OUT045,2948.5567848353207
FDO49,OUT013,692.6569298605548
FDL04,OUT019,238.18843643042143
DRM48,OUT035,708.0874376289515
FDR16,OUT013,3933.3885884722345
NCC19,OUT018,3073.8579697053847
NCE42,OUT045,3451.459868082424
FDY24,OUT017,1046.7357444360186
FDH19,OUT049,2740.1701405864333
FDJ46,OUT013,2736.3097549864697
FDN45,OUT010,628.4307970244281
